player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Romeo Langford,https://www.basketball-reference.com/players/l/langfro01.html,34.1,5.4,16.5,2.3
Chuma Okeke,https://www.basketball-reference.com/players/o/okekech01.html,25.5,6.3,9.9,1.5
Nickeil Alexander-Walker,https://www.basketball-reference.com/players/a/alexani01.html,29.9,4.0,13.5,2.7
Matisse Thybulle,https://www.basketball-reference.com/players/t/thybuma01.html,29.4,3.1,9.2,2.0
Brandon Clarke,https://www.basketball-reference.com/players/c/clarkbr01.html,27.8,7.7,14.5,1.9
Grant Williams,https://www.basketball-reference.com/players/w/willigr01.html,28.9,6.5,15.7,2.1
Ty Jerome,https://www.basketball-reference.com/players/j/jeromty01.html,26.4,3.0,9.6,3.7
Nassir Little,https://www.basketball-reference.com/players/l/littlna01.html,18.2,4.6,9.8,0.7
Dylan Windler,https://www.basketball-reference.com/players/w/windldy01.html,29.4,7.8,13.2,2.0
Mfiondu Kabengele,https://www.basketball-reference.com/players/k/kabenmf01.html,18.3,5.3,10.3,0.3
Jordan Poole,https://www.basketball-reference.com/players/p/poolejo01.html,22.7,2.2,9.4,1.4
Keldon Johnson,https://www.basketball-reference.com/players/j/johnske04.html,30.7,5.9,13.5,1.6
Kevin Porter Jr.,https://www.basketball-reference.com/players/p/porteke02.html,22.1,4.0,9.5,1.4
Nic Claxton,https://www.basketball-reference.com/players/c/claxtni01.html,23.0,6.2,8.4,1.0
KZ Okpala,https://www.basketball-reference.com/players/o/okpalkz01.html,30.8,4.8,13.8,1.9
Carsen Edwards,https://www.basketball-reference.com/players/e/edwarca01.html,29.4,3.4,17.8,2.5
Bruno Fernando,https://www.basketball-reference.com/players/f/fernabr01.html,26.4,8.7,12.0,1.4
Cody Martin,https://www.basketball-reference.com/players/m/martico01.html,28.9,4.6,9.7,3.6
Daniel Gafford,https://www.basketball-reference.com/players/g/gaffoda01.html,25.5,7.4,14.3,0.7
Justin James,https://www.basketball-reference.com/players/j/jamesju01.html,28.1,5.4,15.7,2.6
Eric Paschall,https://www.basketball-reference.com/players/p/pascher01.html,29.6,5.1,12.3,1.5
Admiral Schofield,https://www.basketball-reference.com/players/s/schofad01.html,24.9,5.3,11.9,1.3
Jaylen Nowell,https://www.basketball-reference.com/players/n/nowelja01.html,33.5,4.6,16.1,2.9
Bol Bol,https://www.basketball-reference.com/players/b/bolbo01.html,29.8,9.6,21.0,1.0
Isaiah Roby,https://www.basketball-reference.com/players/r/robyis01.html,23.9,5.5,8.1,1.5
Talen Horton-Tucker,https://www.basketball-reference.com/players/h/hortota01.html,27.2,4.9,11.8,2.3
Ignas Brazdeikis,https://www.basketball-reference.com/players/b/brazdig01.html,29.6,5.4,14.8,0.8
Terance Mann,https://www.basketball-reference.com/players/m/mannte01.html,25.9,5.1,9.4,1.9
Quinndary Weatherspoon,https://www.basketball-reference.com/players/w/weathqu01.html,31.2,5.2,15.4,2.4
Jarrell Brantley,https://www.basketball-reference.com/players/b/brantja01.html,31.7,7.9,15.6,1.7
Tremont Waters,https://www.basketball-reference.com/players/w/watertr01.html,32.7,3.1,15.6,5.9
Jalen McDaniels,https://www.basketball-reference.com/players/m/mcdanja01.html,27.9,7.9,13.2,1.5
Justin Wright-Foreman,https://www.basketball-reference.com/players/w/wrighju02.html,28.1,2.9,18.6,2.1
Marial Shayok,https://www.basketball-reference.com/players/s/shayoma01.html,20.7,2.7,8.9,1.3
Kyle Guy,https://www.basketball-reference.com/players/g/guyky01.html,29.1,3.0,12.5,1.6
Jaylen Hands,https://www.basketball-reference.com/players/h/handsja01.html,28.3,3.8,12.1,4.4
Jordan Bone,https://www.basketball-reference.com/players/b/bonejo01.html,26.1,2.4,9.7,4.3
Miye Oni,https://www.basketball-reference.com/players/o/onimi01.html,31.7,6.2,15.0,3.3
Dewan Hernandez,https://www.basketball-reference.com/players/h/hernade01.html,21.6,4.9,8.6,0.3
Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html,33.0,5.2,19.1,2.8
James Wiseman,https://www.basketball-reference.com/players/w/wisemja01.html,23.0,10.7,19.7,0.3
