player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
GG Jackson II,https://www.basketball-reference.com/players/j/jacksgg01.html,31.9,5.9,15.4,0.8
Seth Lundy,https://www.basketball-reference.com/players/l/lundyse01.html,26.0,4.6,10.5,0.7
Jordan Miller,https://www.basketball-reference.com/players/m/millejo02.html,32.4,6.0,12.8,1.7
Emoni Bates,https://www.basketball-reference.com/players/b/batesem01.html,29.9,4.8,15.6,1.4
Keyontae Johnson,https://www.basketball-reference.com/players/j/johnske08.html,29.0,6.6,13.1,1.6
Jalen Wilson,https://www.basketball-reference.com/players/w/wilsoja03.html,30.6,7.7,14.2,2.0
Toumani Camara,https://www.basketball-reference.com/players/c/camarto01.html,27.4,6.9,11.0,1.4
Jaylen Clark,https://www.basketball-reference.com/players/c/clarkja02.html,19.1,4.1,7.4,1.0
Jalen Slawson,https://www.basketball-reference.com/players/s/slawsja01.html,24.0,5.5,9.9,2.4
Isaiah Wong,https://www.basketball-reference.com/players/w/wongis01.html,31.1,4.1,14.1,2.2
Trayce Jackson-Davis,https://www.basketball-reference.com/players/j/jackstr02.html,32.5,9.1,17.9,2.2
Chris Livingston,https://www.basketball-reference.com/players/l/livinch01.html,22.4,4.2,6.3,0.7
