,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,2,152,5229,3241,1051,700,.442,.321,.731,34.4,21.3,6.9,4.6,7.6,.070,0.0,2.7
2,2,OKC,Chet Holmgren,Gonzaga,1,82,2413,1357,648,200,.530,.370,.793,29.4,16.5,7.9,2.4,8.9,.178,3.4,3.3
3,3,HOU,Jabari Smith Jr.,Auburn,2,155,4875,2054,1185,222,.430,.335,.798,31.5,13.3,7.6,1.4,7.5,.074,-2.0,0.0
4,4,SAC,Keegan Murray,Iowa,2,157,4970,2148,791,227,.454,.384,.805,31.7,13.7,5.0,1.4,9.5,.092,-0.7,1.6
5,5,DET,Jaden Ivey,Purdue,2,151,4521,2389,552,683,.422,.339,.748,29.9,15.8,3.7,4.5,0.4,.004,-3.2,-1.4
6,6,IND,Bennedict Mathurin,Arizona,2,137,3760,2158,552,235,.439,.344,.826,27.4,15.8,4.0,1.7,3.2,.041,-3.6,-1.5
7,7,POR,Shaedon Sharpe,Kentucky,2,112,2838,1299,396,188,.445,.350,.772,25.3,11.6,3.5,1.7,1.7,.028,-3.1,-0.8
8,8,NOP,Dyson Daniels,,2,120,2400,581,424,298,.435,.312,.645,20.0,4.8,3.5,2.5,4.2,.085,-0.5,0.9
9,9,SAS,Jeremy Sochan,Baylor,2,130,3651,1475,771,391,.444,.285,.738,28.1,11.3,5.9,3.0,1.5,.020,-3.6,-1.5
10,10,WAS,Johnny Davis,Wisconsin,2,78,1036,315,137,60,.394,.282,.549,13.3,4.0,1.8,0.8,-0.4,-.019,-6.9,-1.3
11,11,NYK,Ousmane Dieng,,2,72,934,326,156,83,.421,.280,.744,13.0,4.5,2.2,1.2,0.9,.044,-3.4,-0.3
12,12,OKC,Jalen Williams,Santa Clara,2,146,4499,2411,619,570,.532,.395,.813,30.8,16.5,4.2,3.9,12.9,.138,1.3,3.8
13,13,CHO,Jalen Duren,Memphis,2,128,3447,1453,1304,222,.631,.000,.707,26.9,11.4,10.2,1.7,9.3,.130,-0.4,1.3
14,14,CLE,Ochai Agbaji,Kansas,2,137,2850,922,337,150,.419,.326,.744,20.8,6.7,2.5,1.1,1.4,.024,-3.8,-1.3
15,15,CHO,Mark Williams,Duke,2,62,1336,629,488,40,.642,,.702,21.5,10.1,7.9,0.6,4.9,.177,0.3,0.8
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
17,17,HOU,Tari Eason,LSU,2,104,2247,975,649,115,.452,.347,.730,21.6,9.4,6.2,1.1,3.8,.082,-1.0,0.6
18,18,CHI,Dalen Terry,Arizona,2,97,895,265,150,103,.441,.238,.609,9.2,2.7,1.5,1.1,1.3,.071,-1.7,0.1
19,19,MIN,Jake LaRavia,Wake Forest,2,70,1220,484,191,79,.389,.339,.822,17.4,6.9,2.7,1.1,1.5,.059,-2.8,-0.3
20,20,SAS,Malaki Branham,Ohio State,2,141,3144,1363,329,283,.436,.325,.850,22.3,9.7,2.3,2.0,-0.4,-.006,-5.4,-2.7
21,21,DEN,Christian Braun,Kansas,2,158,2836,960,487,191,.473,.373,.672,17.9,6.1,3.1,1.2,5.4,.091,-2.1,-0.1
22,22,MEM,Walker Kessler,Auburn,2,138,3196,1197,1101,129,.690,.227,.548,23.2,8.7,8.0,0.9,11.2,.168,2.0,3.2
23,23,PHI,David Roddy,Colorado State,2,135,2435,891,404,139,.416,.301,.662,18.0,6.6,3.0,1.0,1.2,.024,-4.4,-1.5
24,24,MIL,MarJon Beauchamp,,2,100,1309,477,214,66,.433,.355,.708,13.1,4.8,2.1,0.7,1.1,.040,-4.0,-0.7
25,25,SAS,Blake Wesley,Notre Dame,2,98,1545,452,175,265,.398,.299,.639,15.8,4.6,1.8,2.7,-0.7,-.021,-6.4,-1.7
26,26,DAL,Wendell Moore Jr.,Duke,2,54,228,60,30,24,.443,.087,.800,4.2,1.1,0.6,0.4,0.2,.036,-2.6,0.0
27,27,MIA,Nikola Jović,,2,61,1100,434,223,100,.443,.369,.773,18.0,7.1,3.7,1.6,2.1,.094,-0.4,0.4
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,2,69,719,290,163,40,.386,.348,.676,10.4,4.2,2.4,0.6,0.3,.022,-3.8,-0.3
29,29,MEM,TyTy Washington Jr.,Kentucky,2,42,489,159,50,52,.356,.244,.556,11.6,3.8,1.2,1.2,-0.2,-.022,-6.5,-0.6
30,30,OKC,Peyton Watson,UCLA,2,103,1674,607,295,97,.468,.307,.651,16.3,5.9,2.9,0.9,2.7,.079,-2.3,-0.1
31,31,IND,Andrew Nembhard,Gonzaga,2,143,3770,1335,340,621,.467,.353,.797,26.4,9.3,2.4,4.3,3.3,.042,-2.8,-0.7
32,32,ORL,Caleb Houstan,Michigan,2,110,1627,446,183,59,.376,.359,.818,14.8,4.1,1.7,0.5,2.2,.064,-3.0,-0.4
33,33,TOR,Christian Koloko,Arizona,1,58,802,182,171,31,.480,.083,.627,13.8,3.1,2.9,0.5,1.7,.104,-3.5,-0.3
34,34,OKC,Jaylin Williams,Arkansas,2,118,1811,564,475,186,.426,.385,.747,15.3,4.8,4.0,1.6,4.3,.114,-0.3,0.8
35,35,LAL,Max Christie,Michigan State,2,108,1456,412,217,81,.424,.378,.806,13.5,3.8,2.0,0.8,1.3,.043,-3.5,-0.5
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,2,121,1697,950,220,174,.420,.379,.800,14.0,7.9,1.8,1.4,1.0,.028,-3.3,-0.6
38,38,SAS,Kennedy Chandler,Tennessee,1,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,2,105,1669,548,195,105,.419,.330,.764,15.9,5.2,1.9,1.0,0.7,.020,-5.4,-1.4
