,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
41,41,NOP,E.J. Liddell,Ohio State,1,8,23,4,5,1,.167,.000,1.000,2.9,0.5,0.6,0.1,0.0,-.091,-4.7,0.0
42,42,NYK,Trevor Keels,Duke,1,3,8,3,2,0,.250,.250,,2.7,1.0,0.7,0.0,0.0,-.062,-13.0,0.0
43,43,LAC,Moussa Diabaté,Michigan,2,33,259,88,74,8,.515,.500,.633,7.8,2.7,2.2,0.2,0.8,.141,-1.2,0.1
44,44,ATL,Ryan Rollins,Toledo,2,25,140,67,25,20,.447,.462,.826,5.6,2.7,1.0,0.8,0.0,-.010,-3.5,-0.1
45,45,CHO,Josh Minott,Memphis,2,47,187,96,42,13,.486,.375,.909,4.0,2.0,0.9,0.3,0.7,.183,1.7,0.2
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,2,67,1541,551,305,179,.432,.350,.803,23.0,8.2,4.6,2.7,2.7,.084,-1.2,0.3
48,48,MIN,Kendall Brown,Baylor,2,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1
49,49,CLE,Isaiah Mobley,USC,2,22,156,54,30,9,.423,.333,.800,7.1,2.5,1.4,0.4,0.3,.087,-3.8,-0.1
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,1,16,66,21,12,2,.391,.143,1.000,4.1,1.3,0.8,0.1,0.0,-.010,-7.4,-0.1
52,52,NOP,Karlo Matković,,,,,,,,,,,,,,,,,,
53,53,BOS,JD Davison,Alabama,2,20,105,35,19,21,.419,.357,.667,5.3,1.8,1.0,1.1,0.3,.122,-1.4,0.0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,1,23,192,82,49,14,.509,.370,.941,8.3,3.6,2.1,0.6,0.7,.169,-0.5,0.1
56,56,CLE,Luke Travers,,,,,,,,,,,,,,,,,,
57,57,POR,Jabari Walker,Colorado,2,128,2319,854,639,105,.448,.292,.755,18.1,6.7,5.0,0.8,3.1,.065,-4.1,-1.2
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.
,,,,,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.
Draft Years
