,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,3,138,4562,2758,696,892,.432,.329,.858,33.1,20.0,5.0,6.5,1.1,.012,-0.6,1.6
2,2,HOU,Jalen Green,,3,225,7341,4450,933,748,.421,.337,.794,32.6,19.8,4.1,3.3,5.6,.036,-1.7,0.5
3,3,CLE,Evan Mobley,USC,3,198,6578,3096,1749,558,.544,.265,.681,33.2,15.6,8.8,2.8,19.3,.141,1.6,5.9
4,4,TOR,Scottie Barnes,Florida State,3,211,7389,3504,1563,990,.474,.311,.764,35.0,16.6,7.4,4.7,15.9,.103,1.5,6.5
5,5,ORL,Jalen Suggs,Gonzaga,3,176,4578,2031,561,569,.422,.333,.753,26.0,11.5,3.2,3.2,4.5,.047,-1.4,0.7
6,6,OKC,Josh Giddey,,3,210,6078,2920,1534,1200,.464,.310,.753,28.9,13.9,7.3,5.7,8.6,.068,0.7,4.1
7,7,GSW,Jonathan Kuminga,,3,211,4528,2506,820,352,.524,.341,.707,21.5,11.9,3.9,1.7,10.1,.107,-1.1,1.0
8,8,ORL,Franz Wagner,Michigan,3,231,7375,4103,1066,783,.479,.332,.850,31.9,17.8,4.6,3.4,15.7,.103,0.1,3.9
9,9,SAC,Davion Mitchell,Baylor,3,227,4624,1690,366,632,.434,.327,.703,20.4,7.4,1.6,2.8,3.0,.031,-3.4,-1.6
10,10,NOP,Ziaire Williams,Stanford,3,150,2945,1131,388,175,.426,.301,.803,19.6,7.5,2.6,1.2,2.6,.042,-4.0,-1.5
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,3,160,3157,1312,447,222,.405,.347,.816,19.7,8.2,2.8,1.4,1.6,.024,-3.1,-0.9
14,14,GSW,Moses Moody,Arkansas,3,181,2580,1063,381,131,.460,.362,.758,14.3,5.9,2.1,0.7,5.0,.093,-1.5,0.4
15,15,WAS,Corey Kispert,Gonzaga,3,231,5961,2524,641,328,.481,.388,.792,25.8,10.9,2.8,1.4,8.2,.066,-2.0,0.0
16,16,OKC,Alperen Sengun,,3,210,5706,3132,1660,788,.528,.284,.705,27.2,14.9,7.9,3.8,14.2,.120,2.0,5.8
17,17,MEM,Trey Murphy III,Virginia,3,198,5002,2324,708,274,.454,.392,.867,25.3,11.7,3.6,1.4,14.9,.143,1.5,4.4
18,18,OKC,Tre Mann,Florida,3,168,3537,1524,475,376,.408,.345,.776,21.1,9.1,2.8,2.2,1.8,.024,-3.4,-1.2
19,19,NYK,Kai Jones,Texas,2,67,613,179,134,19,.567,.238,.647,9.1,2.7,2.0,0.3,0.7,.056,-4.3,-0.4
20,20,ATL,Jalen Johnson,Duke,3,148,3051,1343,796,289,.506,.328,.694,20.6,9.1,5.4,2.0,6.0,.095,0.6,2.0
21,21,NYK,Keon Johnson,Tennessee,3,82,1173,487,132,138,.363,.346,.760,14.3,5.9,1.6,1.7,-0.9,-.035,-5.6,-1.1
22,22,LAL,Isaiah Jackson,Kentucky,3,158,2354,1135,669,111,.594,.206,.679,14.9,7.2,4.2,0.7,7.4,.151,-0.2,1.1
23,23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
24,24,HOU,Josh Christopher,Arizona State,2,138,2120,959,257,223,.455,.277,.740,15.4,6.9,1.9,1.6,0.3,.006,-3.8,-1.0
25,25,LAC,Quentin Grimes,Houston,3,168,3932,1433,423,260,.428,.371,.772,23.4,8.5,2.5,1.5,7.5,.091,-0.7,1.3
26,26,DEN,Bones Hyland,VCU,3,162,2935,1613,378,456,.398,.361,.844,18.1,10.0,2.3,2.8,3.8,.063,-1.1,0.6
27,27,BRK,Cam Thomas,LSU,3,190,4199,2656,470,348,.440,.344,.855,22.1,14.0,2.5,1.8,4.3,.049,-2.2,-0.2
28,28,PHI,Jaden Springer,Tennessee,3,67,602,207,94,52,.418,.226,.820,9.0,3.1,1.4,0.8,0.8,.067,-2.6,-0.1
29,29,PHO,Day'Ron Sharpe,UNC,3,141,1864,840,749,139,.565,.364,.612,13.2,6.0,5.3,1.0,5.7,.148,-1.3,0.3
30,30,UTA,Santi Aldama,Loyola (MD),3,170,3660,1482,810,256,.447,.333,.692,21.5,8.7,4.8,1.5,7.2,.095,-0.4,1.4
31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3
