,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
32,32,NYK,Jeremiah Robinson-Earl,Villanova,3,131,2235,773,530,113,.433,.343,.777,17.1,5.9,4.0,0.9,4.0,.085,-1.9,0.0
33,33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,3,220,6607,2228,837,528,.482,.373,.824,30.0,10.1,3.8,2.4,15.2,.110,0.0,3.3
36,36,OKC,Miles McBride,West Virginia,3,172,2460,873,192,227,.404,.355,.760,14.3,5.1,1.1,1.3,4.6,.090,-1.4,0.4
37,37,DET,JT Thor,Auburn,3,165,2012,528,341,84,.418,.320,.644,12.2,3.2,2.1,0.5,1.0,.025,-4.4,-1.2
38,38,CHI,Ayo Dosunmu,Illinois,3,233,6420,2290,650,704,.504,.370,.770,27.6,9.8,2.8,3.0,10.1,.075,-1.7,0.4
39,39,SAC,Neemias Queta,Utah State University,3,48,482,211,164,27,.596,,.660,10.0,4.4,3.4,0.6,2.0,.200,-0.4,0.2
40,40,NOP,Jared Butler,Baylor,3,88,1003,449,107,197,.453,.328,.808,11.4,5.1,1.2,2.2,1.2,.056,-1.9,0.0
41,41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
42,42,DET,Isaiah Livers,Michigan,3,94,2051,581,248,87,.407,.358,.789,21.8,6.2,2.6,0.9,1.6,.037,-3.2,-0.6
43,43,NOP,Greg Brown III,Texas,3,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6
44,44,BRK,Kessler Edwards,Pepperdine,3,138,1647,477,275,69,.407,.350,.744,11.9,3.5,2.0,0.5,1.5,.043,-3.5,-0.6
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,3,149,2022,904,347,262,.409,.289,.729,13.6,6.1,2.3,1.8,1.3,.031,-1.8,0.1
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0
48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-.297,-16.3,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0
51,51,MEM,Brandon Boston Jr.,Kentucky,3,105,1353,653,193,84,.396,.313,.776,12.9,6.2,1.8,0.8,0.3,.012,-4.6,-0.9
52,52,DET,Luka Garza,Iowa,3,85,754,466,194,42,.488,.325,.703,8.9,5.5,2.3,0.5,2.2,.143,-1.8,0.0
53,53,PHI,Charles Bassey,Western Kentucky,3,77,881,331,331,75,.658,.231,.655,11.4,4.3,4.3,1.0,2.7,.149,1.0,0.7
54,54,IND,Sandro Mamukelashvili,Seton Hall,3,130,1518,607,414,133,.454,.330,.726,11.7,4.7,3.2,1.0,3.0,.096,-1.3,0.3
55,55,OKC,Aaron Wiggins,Maryland,3,198,3734,1437,574,234,.514,.394,.780,18.9,7.3,2.9,1.2,7.5,.097,-1.9,0.1
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,3,138,1952,360,558,71,.741,.000,.580,14.1,2.6,4.0,0.5,5.6,.138,-1.2,0.4
59,59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1
60,60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3
